name,zip,kpi,month_1,month_2,delivery_service,orders
Ava Persisches Restaurant,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Eat & Meet,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Nostalgie Stüberl,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Gasthaus Hofstätter,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Trattoria Veneziana,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Yamamoto,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Safran,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Restaurant Castello,8054, Commissionable Orders,0.0,0.0,deliverando,0.0
Peppino im Hofkeller,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Tutto Bene,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Cheesus Burger,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Unterm Goldenen Dachl,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Hendlkönig Imbisskiosk Seiersberg,8054, Commissionable Orders,0.0,0.0,deliverando,0.0
bp - MERKUR inside,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Baba Noni - Modern Oriental Kitchen,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Afghan Restaurant,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Yamauchi,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Mr. Falafel,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Royal Kebap,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Limes,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Pizzeria Pirates,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Gasthaus zur Sonne,8051, Commissionable Orders,0.0,0.0,deliverando,0.0
Confiserie Eckhard's,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
SPAR express,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Grillmeister,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Apex Pizza Burger Kebab,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Eloïse Drinks,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Burger Boutique,8042, Commissionable Orders,0.0,0.0,deliverando,0.0
Boba Tea & Juice,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Gasthof zum Bayernbrunnen,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Ucco's,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Wir:zhaus,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Namaste Nepal Restaurant,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Easy Asia,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
